scaf_nr,pos,trait,estimate,pval,qval,region,similar
9,36,006,955,Centrality,-0.05,0.006,0.24,upstream,ACVR1
6,25,173,106,Mating success,-0.07,0.046,0.7,downstream,ADAMTSL2
6,56,292,083,Mating success,-0.16,0.002,0.2,exon,ADRB1
27,3,851,345,Centrality,-0.07,0.003,0.24,exon,ANK1
13,18,332,312,Attendance,0.08,0.002,0.13,intron,ANKRD11
13,18,316,851,Survival,-6.31,0.048,0.79,upstream,ANKRD11
19,9,737,771,Attendance,0.05,0.017,0.3,downstream,ANKRD40
19,9,737,771,Survival,-8.03,0.039,0.79,downstream,ANKRD40
7,49,082,068,Mating success,-0.07,0.001,0.17,exon,ANKRD9
7,49,082,068,Survival,-7.43,0.05,0.79,exon,ANKRD9
25,5,152,922,Attendance,0.08,0.001,0.13,promoter,APOA1
7,16,104,769,Attendance,0.04,0.019,0.3,promoter,BEST1
7,16,104,769,Centrality,-0.05,0.007,0.24,promoter,BEST1
7,16,104,759,Centrality,-0.04,0.021,0.29,promoter,BEST1
7,16,104,775,Centrality,-0.05,0.004,0.24,promoter,BEST1
19,9,844,172,Mating success,0.05,0.028,0.7,intron,CACNA1G
23,358,619,Survival,-11.24,0.01,0.79,promoter,CAMTA1
19,4,947,243,Blue chroma (next year),0.01,0.009,0.26,promoter,CANT1
13,18,429,542,Centrality,-0.05,0.044,0.4,promoter,CBFA2T3
24,2,545,576,Centrality,0.04,0.045,0.4,TSS,CILP2
3,46,046,806,Centrality,-0.07,0.008,0.24,upstream,COLEC12
7,190,378,Survival,-4.83,0.047,0.79,downstream,CPSF7
28,355,968,Centrality,-0.07,0.005,0.24,upstream,CRABP2
13,18,012,675,Attendance,-0.06,0.046,0.46,intron,CYB5B
13,18,012,675,Centrality,0.08,0.01,0.24,intron,CYB5B
6,6,229,580,Mating success,-0.07,0.005,0.3,downstream,DMRTA2
4,56,198,050,Blue chroma (next year),0.01,0.026,0.43,upstream,DNAJB5
23,506,065,Mating success,0.03,0.047,0.7,promoter,DNAJC11
26,3,774,540,Centrality,-0.1,0.034,0.35,exon,DNALI1
24,462,215,Centrality,0.07,0.01,0.24,promoter,DOT1L
2,3,176,115,Centrality,-0.07,0.01,0.24,downstream,ELP3
19,9,920,788,Centrality,-0.11,0.001,0.11,promoter,EPN3
15,9,512,366,Mating success,0.05,0.01,0.46,downstream,FAF2
24,2,986,739,Mating success,0.1,0,0.04,downstream,FKBP8
11,111,251,Attendance,-0.06,0.017,0.3,intron,FURIN
7,15,878,140,Centrality,-0.06,0.013,0.26,promoter,GAL
12,8,736,017,Centrality,-0.05,0.036,0.36,upstream,GATA2
12,8,736,370,Survival,-9.99,0.021,0.79,upstream,GATA2
24,6,241,473,Mating success,0.06,0.001,0.17,exon,GLI1
24,1,324,651,Attendance,-0.06,0.02,0.3,intron,GRAMD2B
13,19,314,324,Attendance,-0.07,0.007,0.19,intron,GSE1
10,15,663,765,Centrality,0.04,0.05,0.42,downstream,HES1-B
10,15,663,816,Lyre size (next year),5.47,0.035,0.37,downstream,HES1-B
1,85,356,738,Attendance,-0.1,0.002,0.13,promoter,HMG14
26,5,691,986,Centrality,-0.13,0.007,0.24,exon,HMGCL
22,6,616,045,Attendance,-0.08,0.004,0.14,promoter,HOXB2
24,1,105,654,Attendance,-0.09,0.005,0.16,intron,HSD11B1L
24,1,105,654,Centrality,0.08,0.028,0.32,intron,HSD11B1L
17,3,956,821,Attendance,0.06,0.033,0.4,downstream,ID1
25,2,512,503,Lyre size (next year),-4.66,0.036,0.37,promoter,JAM3
25,2,512,626,Mating success,0.07,0.016,0.53,exon,JAM3
